,ref_time,call_start_time,call_end_time,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
1715,2022-08-26 03:49:15.116500000,2022-08-26 03:49:15.116500000,2022-08-26 03:49:15.129899999,1155.1165,1155.1299,24609.0,29011.0,Echolocation,Nyctalus leisleri,0.326,0.525,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1717,2022-08-26 03:49:15.266500000,2022-08-26 03:49:15.266500000,2022-08-26 03:49:15.279800000,1155.2665,1155.2798,24609.0,31615.0,Echolocation,Nyctalus leisleri,0.282,0.583,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1739,2022-08-26 03:50:27.458500000,2022-08-26 03:50:27.458500000,2022-08-26 03:50:27.471600000,1227.4585,1227.4716,23750.0,30254.0,Echolocation,Eptesicus serotinus,0.25,0.514,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1740,2022-08-26 03:50:29.111500000,2022-08-26 03:50:29.111500000,2022-08-26 03:50:29.126200000,1229.1115,1229.1262,23750.0,29347.0,Echolocation,Nyctalus leisleri,0.41,0.619,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1744,2022-08-26 03:50:50.642500000,2022-08-26 03:50:50.642500000,2022-08-26 03:50:50.659900000,1250.6425,1250.6599,22890.0,27194.0,Echolocation,Nyctalus leisleri,0.473,0.563,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1745,2022-08-26 03:50:50.905500000,2022-08-26 03:50:50.905500000,2022-08-26 03:50:50.920200000,1250.9055,1250.9202,23750.0,27940.0,Echolocation,Nyctalus leisleri,0.494,0.628,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1775,2022-08-26 03:51:34.739500000,2022-08-26 03:51:34.739500000,2022-08-26 03:51:34.754600000,1294.7395,1294.7546,23750.0,28083.0,Echolocation,Nyctalus leisleri,0.442,0.589,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1851,2022-08-26 03:55:37.581500000,2022-08-26 03:55:37.581500000,2022-08-26 03:55:37.590200000,1537.5815,1537.5902,38359.0,45203.0,Echolocation,Pipistrellus nathusii,0.468,0.537,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1893,2022-08-26 03:58:02.789500000,2022-08-26 03:58:02.789500000,2022-08-26 03:58:02.795800000,1682.7895,1682.7958,34921.0,44701.0,Echolocation,Pipistrellus nathusii,0.492,0.594,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1895,2022-08-26 03:58:03.094500000,2022-08-26 03:58:03.094500000,2022-08-26 03:58:03.103100000,1683.0945,1683.1031,35781.0,42999.0,Echolocation,Pipistrellus nathusii,0.466,0.559,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1896,2022-08-26 03:58:03.301500000,2022-08-26 03:58:03.301500000,2022-08-26 03:58:03.308900000,1683.3015,1683.3089,36640.0,44571.0,Echolocation,Pipistrellus nathusii,0.426,0.58,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1898,2022-08-26 03:58:03.498500000,2022-08-26 03:58:03.498500000,2022-08-26 03:58:03.506499999,1683.4985,1683.5065,36640.0,44583.0,Echolocation,Pipistrellus nathusii,0.321,0.507,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
10,2022-08-26 04:48:49.913500000,2022-08-26 04:48:49.913500000,2022-08-26 04:48:49.921600000,1129.9135,1129.9216,39218.0,45103.0,Echolocation,Pipistrellus nathusii,0.484,0.569,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_043000.WAV,recover-20220828,UBNA_007,Telephone Field
59,2022-08-26 04:52:03.588500000,2022-08-26 04:52:03.588500000,2022-08-26 04:52:03.596400000,1323.5885,1323.5964,37500.0,44823.0,Echolocation,Pipistrellus nathusii,0.555,0.614,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_043000.WAV,recover-20220828,UBNA_007,Telephone Field
167,2022-08-26 04:52:27.255500000,2022-08-26 04:52:27.255500000,2022-08-26 04:52:27.262700000,1347.2555,1347.2627,38359.0,45084.0,Echolocation,Pipistrellus nathusii,0.632,0.653,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_043000.WAV,recover-20220828,UBNA_007,Telephone Field
191,2022-08-26 04:52:35.589500000,2022-08-26 04:52:35.589500000,2022-08-26 04:52:35.598500000,1355.5895,1355.5985,36640.0,45668.0,Echolocation,Pipistrellus nathusii,0.448,0.572,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_043000.WAV,recover-20220828,UBNA_007,Telephone Field
195,2022-08-26 04:52:36.477500000,2022-08-26 04:52:36.477500000,2022-08-26 04:52:36.484000000,1356.4775,1356.484,35781.0,45272.0,Echolocation,Pipistrellus nathusii,0.387,0.581,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_043000.WAV,recover-20220828,UBNA_007,Telephone Field
47,2022-08-26 06:06:05.148500000,2022-08-26 06:06:05.148500000,2022-08-26 06:06:05.163400000,365.1485,365.1634,20312.0,22862.0,Echolocation,Nyctalus leisleri,0.349,0.565,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_060000.WAV,recover-20220828,UBNA_007,Telephone Field
0,2022-08-26 06:31:25.553500000,2022-08-26 06:31:25.553500000,2022-08-26 06:31:25.560100000,85.5535,85.5601,27187.0,36633.0,Echolocation,Eptesicus serotinus,0.353,0.637,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
1,2022-08-26 06:31:25.653500000,2022-08-26 06:31:25.653500000,2022-08-26 06:31:25.660900000,85.65350000000001,85.6609,28046.0,36514.0,Echolocation,Eptesicus serotinus,0.302,0.545,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
2,2022-08-26 06:31:25.834500000,2022-08-26 06:31:25.834500000,2022-08-26 06:31:25.841900000,85.83449999999999,85.8419,25468.0,34080.0,Echolocation,Eptesicus serotinus,0.326,0.565,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
3,2022-08-26 06:31:25.974500000,2022-08-26 06:31:25.974500000,2022-08-26 06:31:25.982000000,85.9745,85.982,24609.0,33155.0,Echolocation,Eptesicus serotinus,0.286,0.541,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
4,2022-08-26 06:31:26.229500000,2022-08-26 06:31:26.229500000,2022-08-26 06:31:26.237300000,86.2295,86.2373,23750.0,33584.0,Echolocation,Eptesicus serotinus,0.278,0.585,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
5,2022-08-26 06:31:29.025500000,2022-08-26 06:31:29.025500000,2022-08-26 06:31:29.034100000,89.0255,89.0341,22031.0,31295.0,Echolocation,Nyctalus noctula,0.193,0.566,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
6,2022-08-26 06:31:29.605500000,2022-08-26 06:31:29.605500000,2022-08-26 06:31:29.612800000,89.6055,89.6128,24609.0,33903.0,Echolocation,Eptesicus serotinus,0.383,0.579,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
7,2022-08-26 06:31:29.809500000,2022-08-26 06:31:29.809500000,2022-08-26 06:31:29.816800000,89.8095,89.8168,23750.0,34007.0,Echolocation,Eptesicus serotinus,0.281,0.652,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
8,2022-08-26 06:31:30.112500000,2022-08-26 06:31:30.112500000,2022-08-26 06:31:30.121400000,90.1125,90.1214,22890.0,32295.0,Echolocation,Eptesicus serotinus,0.245,0.682,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
9,2022-08-26 06:31:32.785500000,2022-08-26 06:31:32.785500000,2022-08-26 06:31:32.791200000,92.7855,92.7912,27187.0,37701.0,Echolocation,Eptesicus serotinus,0.403,0.579,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
10,2022-08-26 06:31:33.791500000,2022-08-26 06:31:33.791500000,2022-08-26 06:31:33.798700000,93.7915,93.7987,24609.0,34488.0,Echolocation,Eptesicus serotinus,0.25,0.576,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
11,2022-08-26 06:31:44.616500000,2022-08-26 06:31:44.616500000,2022-08-26 06:31:44.624200000,104.6165,104.6242,23750.0,33789.0,Echolocation,Eptesicus serotinus,0.28,0.599,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
12,2022-08-26 06:31:44.970500000,2022-08-26 06:31:44.970500000,2022-08-26 06:31:44.977700000,104.9705,104.9777,24609.0,32765.0,Echolocation,Nyctalus leisleri,0.31,0.613,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
13,2022-08-26 06:31:46.974500000,2022-08-26 06:31:46.974500000,2022-08-26 06:31:46.983200000,106.9745,106.9832,22890.0,31396.0,Echolocation,Eptesicus serotinus,0.253,0.518,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
14,2022-08-26 06:31:51.132500000,2022-08-26 06:31:51.132500000,2022-08-26 06:31:51.138200000,111.1325,111.1382,24609.0,36051.0,Echolocation,Eptesicus serotinus,0.301,0.601,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
15,2022-08-26 06:31:51.205500000,2022-08-26 06:31:51.205500000,2022-08-26 06:31:51.211300000,111.2055,111.2113,29765.0,40062.0,Echolocation,Eptesicus serotinus,0.349,0.569,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
16,2022-08-26 06:31:51.338500000,2022-08-26 06:31:51.338500000,2022-08-26 06:31:51.344700000,111.3385,111.3447,25468.0,38926.0,Echolocation,Eptesicus serotinus,0.517,0.694,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
17,2022-08-26 06:31:51.431500000,2022-08-26 06:31:51.431500000,2022-08-26 06:31:51.437100000,111.4315,111.4371,30625.0,45751.0,Echolocation,Eptesicus serotinus,0.347,0.64,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
18,2022-08-26 06:31:51.546500000,2022-08-26 06:31:51.546500000,2022-08-26 06:31:51.552600000,111.5465,111.5526,25468.0,42246.0,Echolocation,Eptesicus serotinus,0.506,0.668,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
20,2022-08-26 06:31:51.769500000,2022-08-26 06:31:51.769500000,2022-08-26 06:31:51.777700000,111.7695,111.7777,23750.0,36508.0,Echolocation,Eptesicus serotinus,0.356,0.723,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
21,2022-08-26 06:31:51.864500000,2022-08-26 06:31:51.864500000,2022-08-26 06:31:51.871300000,111.8645,111.8713,30625.0,41337.0,Echolocation,Eptesicus serotinus,0.371,0.548,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
22,2022-08-26 06:31:51.989500000,2022-08-26 06:31:51.989500000,2022-08-26 06:31:51.995600000,111.9895,111.9956,26328.0,36827.0,Echolocation,Eptesicus serotinus,0.325,0.663,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
23,2022-08-26 06:31:52.100500000,2022-08-26 06:31:52.100500000,2022-08-26 06:31:52.106600000,112.1005,112.1066,29765.0,43658.0,Echolocation,Eptesicus serotinus,0.284,0.601,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
24,2022-08-26 06:31:52.237500000,2022-08-26 06:31:52.237500000,2022-08-26 06:31:52.244700000,112.2375,112.2447,28046.0,37369.0,Echolocation,Nyctalus leisleri,0.283,0.613,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
25,2022-08-26 06:31:52.337500000,2022-08-26 06:31:52.337500000,2022-08-26 06:31:52.342500000,112.3375,112.3425,29765.0,45773.0,Echolocation,Eptesicus serotinus,0.316,0.653,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
28,2022-08-26 06:31:52.644500000,2022-08-26 06:31:52.644500000,2022-08-26 06:31:52.649300000,112.6445,112.6493,30625.0,44002.0,Echolocation,Eptesicus serotinus,0.251,0.557,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
29,2022-08-26 06:31:52.837500000,2022-08-26 06:31:52.837500000,2022-08-26 06:31:52.842800000,112.8375,112.8428,26328.0,42603.0,Echolocation,Eptesicus serotinus,0.371,0.619,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
30,2022-08-26 06:31:52.962500000,2022-08-26 06:31:52.962500000,2022-08-26 06:31:52.968100000,112.9625,112.9681,28046.0,45576.0,Echolocation,Eptesicus serotinus,0.36,0.596,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
37,2022-08-26 06:31:57.309500000,2022-08-26 06:31:57.309500000,2022-08-26 06:31:57.315700000,117.3095,117.3157,28906.0,39458.0,Echolocation,Eptesicus serotinus,0.385,0.587,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
38,2022-08-26 06:31:57.438500000,2022-08-26 06:31:57.438500000,2022-08-26 06:31:57.444800000,117.4385,117.4448,28906.0,40632.0,Echolocation,Eptesicus serotinus,0.371,0.592,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
39,2022-08-26 06:31:57.570500000,2022-08-26 06:31:57.570500000,2022-08-26 06:31:57.576900000,117.5705,117.5769,28906.0,40112.0,Echolocation,Eptesicus serotinus,0.391,0.581,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
41,2022-08-26 06:31:57.835500000,2022-08-26 06:31:57.835500000,2022-08-26 06:31:57.841300000,117.8355,117.8413,29765.0,42978.0,Echolocation,Eptesicus serotinus,0.366,0.598,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
42,2022-08-26 06:31:57.975500000,2022-08-26 06:31:57.975500000,2022-08-26 06:31:57.980700000,117.9755,117.9807,28046.0,40977.0,Echolocation,Eptesicus serotinus,0.505,0.651,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
43,2022-08-26 06:31:58.133500000,2022-08-26 06:31:58.133500000,2022-08-26 06:31:58.141300000,118.1335,118.1413,24609.0,37050.0,Echolocation,Eptesicus serotinus,0.462,0.653,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
44,2022-08-26 06:31:58.473500000,2022-08-26 06:31:58.473500000,2022-08-26 06:31:58.480900000,118.4735,118.4809,26328.0,36644.0,Echolocation,Eptesicus serotinus,0.369,0.52,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
45,2022-08-26 06:32:00.809500000,2022-08-26 06:32:00.809500000,2022-08-26 06:32:00.814600000,120.8095,120.8146,28046.0,41634.0,Echolocation,Eptesicus serotinus,0.469,0.636,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
46,2022-08-26 06:32:00.986500000,2022-08-26 06:32:00.986500000,2022-08-26 06:32:00.992000000,120.9865,120.992,26328.0,37987.0,Echolocation,Eptesicus serotinus,0.43,0.643,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
47,2022-08-26 06:32:01.158500000,2022-08-26 06:32:01.158500000,2022-08-26 06:32:01.164700000,121.1585,121.1647,25468.0,37976.0,Echolocation,Eptesicus serotinus,0.506,0.674,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
49,2022-08-26 06:32:01.640500000,2022-08-26 06:32:01.640500000,2022-08-26 06:32:01.647100000,121.6405,121.6471,27187.0,40657.0,Echolocation,Eptesicus serotinus,0.41,0.644,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
51,2022-08-26 06:32:01.942500000,2022-08-26 06:32:01.942500000,2022-08-26 06:32:01.950200000,121.9425,121.9502,28906.0,37781.0,Echolocation,Eptesicus serotinus,0.311,0.54,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
54,2022-08-26 06:32:03.575500000,2022-08-26 06:32:03.575500000,2022-08-26 06:32:03.581300000,123.5755,123.5813,28046.0,43380.0,Echolocation,Eptesicus serotinus,0.536,0.65,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
